ZipCode,YoY_2025,Exposure_2025,YoY_2024,Exposure_2024,YoY_2023,Exposure_2023,YoY_2022,Exposure_2022,YoY_2021,Exposure_2021
94501,183%,354020774,90%,124941175,23%,65754416,12%,53269731,,47513971
94502,136%,16256954,1327%,6880050,2%,481983,185%,470279,,165000
94536,87%,103264812,167%,55209190,154%,20667624,15%,8123808,,7051823
94538,30%,93174463,297%,71479544,648%,18006385,77%,2406677,,1358996
94539,112%,175040425,177%,82376473,90%,29769162,321%,15629261,,3712311
94541,94%,217102956,207%,112116416,5%,36515350,18%,34897320,,29681175
94542,57%,320195765,287%,204488649,51%,52857609,22%,34908333,,28540530
94544,124%,143158174,663%,64048607,41%,8395226,15%,5942361,,5155708
94545,68%,43002933,281%,25661219,75%,6728891,-31%,3839754,,5544735
94546,167%,372903626,314%,139905536,143%,33822630,0%,13926999,,13911934
94550,73%,114923728,36%,66344316,65%,48657670,82%,29554408,,16214824
94551,80%,288701048,411%,160120729,168%,31305722,119%,11659902,,5334740
94552,66%,731505656,125%,440294200,62%,195678048,70%,120499314,,71017122
94555,51%,22032441,605%,14599287,79%,2069814,-12%,1154945,,1307357
94560,222%,25881465,494%,8034584,-36%,1352944,17%,2118128,,1813772
94566,66%,623303266,601%,375143595,154%,53545555,78%,21047835,,11820533
94568,182%,372306877,492%,131992902,159%,22300854,73%,8621366,,4991591
94577,162%,211198271,501%,80709807,59%,13423594,-29%,8455554,,11957877
94578,255%,118231689,471%,33333000,-18%,5842195,37%,7103907,,5166994
94579,147%,32924812,1771%,13317455,8%,711601,-14%,661396,,772874
94580,241%,38166851,349%,11185859,-21%,2491044,15%,3151040,,2737906
94586,24%,124085684,101%,99931501,27%,49804561,74%,39273595,,22591151
94587,103%,88514120,712%,43663448,72%,5380456,-32%,3127713,,4631330
94588,74%,428053990,223%,246181326,76%,76111261,248%,43242037,,12438868
94601,75%,486012760,206%,278444403,31%,90935874,5%,69208611,,66187619
94602,95%,418840823,160%,214431585,20%,82553843,27%,68783906,,53998956
94603,156%,118595944,39%,46313420,6%,33232753,4%,31426395,,30360050
94605,89%,708263875,106%,374205635,38%,181529984,22%,131676737,,108152684
94606,143%,350235272,236%,144048577,12%,42838192,17%,38278119,,32678105
94607,141%,247679893,92%,102616845,40%,53521025,1%,38235643,,37724073
94608,102%,235155408,108%,116344411,31%,55980064,13%,42624152,,37662772
94609,119%,208754783,129%,95220796,59%,41561025,3%,26107558,,25357845
94610,232%,404806536,200%,122015659,69%,40704563,119%,24136769,,11026773
94611,65%,4676165795,60%,2840356879,25%,1777098336,47%,1420562713,,966437846
94612,143%,178994100,246%,73688964,40%,21313841,47%,15205668,,10321178
94618,80%,418513765,874%,232683548,123%,23899502,8%,10711441,,9879746
94619,69%,600049950,109%,354206367,48%,169685559,36%,115020089,,84305119
94621,82%,221306188,158%,121592073,30%,47119366,1%,36371385,,35859092
94702,57%,89590651,121%,57228613,68%,25894612,36%,15410514,,11317488
94703,113%,208565839,186%,97870513,109%,34248394,6%,16413647,,15532606
94704,164%,330373731,129%,125282609,43%,54734254,39%,38312263,,27519527
94705,94%,1091237645,186%,561841007,9%,196263629,62%,179865064,,111078330
94706,93%,86972618,353%,45014498,127%,9945036,-30%,4376099,,6285093
94707,88%,786581820,936%,418295483,67%,40371069,34%,24190412,,18025814
94708,96%,1359080910,155%,692642197,35%,272025543,56%,201447974,,128819199
94709,198%,187920720,271%,63135967,29%,17008310,10%,13156208,,11994718
94710,132%,76847938,84%,33135114,37%,18008432,1%,13133622,,12991077
94720,77148%,3862390,0%,5000,0%,-,0%,-,,-
95364,27%,139916540,33%,110477321,13%,83138840,34%,73270416,,54715777
96120,15%,190923336,19%,166235239,32%,139143585,34%,105778744,,78919011
95601,35%,51020299,0%,37717256,0%,-,0%,-,,-
95629,12%,201272416,26%,180077384,24%,142615948,19%,115054296,,97077306
